,start_time_utc,end_time_utc,electricity_consumption_(mwh),hour,day,month,year,day_of_week,day_of_year,week_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_working_hour,is_peak_morning,is_peak_evening,season,is_winter,is_spring,is_summer,is_fall,is_first_day,is_last_day,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h,rolling_mean_3h,rolling_mean_6h,rolling_mean_12h,rolling_mean_24h,rolling_mean_72h,rolling_mean_168h,rolling_std_6h,rolling_std_12h,rolling_std_24h,rolling_min_12h,rolling_max_12h,rolling_min_24h,rolling_max_24h,rolling_range_24h,same_hour_7d_avg,prev_day_same_hour,prev_week_same_hour,diff_1h,diff_24h,diff_168h,pct_change_1h,pct_change_24h,hourly_avg_deviation,dow_avg_deviation,month_avg_deviation,cumsum_daily,season_hour,weekend_hour,consumption_log,consumption_sqrt
168,2016-01-07 21:00:00,2016-01-07 22:00:00,14074,21,7,1,2016,3,7,1,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793,0,0,0,0,0,1,0,0,0,0,0,14303.0,14342.0,14829.0,15105.0,14791.0,13672.0,13197.0,10800.0,14239.666666666666,14595.5,14711.083333333334,14282.916666666666,13505.708333333334,12266.309523809523,406.4336354190344,330.4009845719295,782.2972812377084,14074.0,15105.0,12821.0,15105.0,2284.0,12437.0,13672.0,10800.0,-229.0,402.0,3274.0,-0.01601062714003981,0.029403159742539497,4858.878733031674,4393.278576137112,2617.3284786018376,316494,21,21,9.552155453007892,118.63389060466659
169,2016-01-07 22:00:00,2016-01-07 23:00:00,13643,22,7,1,2016,3,7,1,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793,0,0,0,0,0,1,0,0,0,0,0,14074.0,14303.0,14342.0,15043.0,14747.0,13285.0,12765.0,10431.0,14006.666666666666,14362.166666666666,14619.083333333334,14297.833333333334,13527.833333333334,12285.42857142857,491.1771235171749,451.1356293407167,765.6785377613975,13643.0,15105.0,12821.0,15105.0,2284.0,12037.0,13285.0,10431.0,-431.0,358.0,3212.0,-0.030623845386484022,0.026947685359427927,4802.022696323196,3962.2785761371124,2186.3284786018376,330137,22,22,9.521055143538536,116.80325337934727
170,2016-01-07 23:00:00,2016-01-08 00:00:00,13369,23,7,1,2016,3,7,1,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793,0,0,0,0,0,1,0,0,0,0,0,13643.0,14074.0,14303.0,14982.0,14670.0,13011.0,12335.0,10005.0,13695.333333333334,14093.333333333334,14510.666666666666,14312.75,13550.444444444445,12305.452380952382,524.3726410355657,576.653564398392,742.6601569329529,13369.0,15105.0,12821.0,15105.0,2284.0,11687.0,13011.0,10005.0,-274.0,358.0,3364.0,-0.02008355933298515,0.027515179463530857,4759.090867992767,3688.2785761371124,1912.3284786018376,343506,23,23,9.500768670095988,115.62439189029277
171,2016-01-08 00:00:00,2016-01-08 01:00:00,13142,0,8,1,2016,4,8,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,13369.0,13643.0,14074.0,14829.0,14647.0,12821.0,12167.0,9722.0,13384.666666666666,13812.166666666666,14385.25,14326.125,13573.194444444445,12325.809523809523,502.8587939636961,695.683591218698,717.0761473420955,13142.0,15105.0,12821.0,15105.0,2284.0,11432.0,12821.0,9722.0,-227.0,321.0,3420.0,-0.01697957962323438,0.0250370485921535,4650.09214092141,3434.6054054054057,1685.3284786018376,13142,0,0,9.483644576482009,114.63856244737195
172,2016-01-08 01:00:00,2016-01-08 02:00:00,13111,1,8,1,2016,4,8,1,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,13142.0,13369.0,13643.0,14342.0,14716.0,12821.0,12023.0,9599.0,13207.333333333334,13607.0,14251.5,14338.208333333334,13596.722222222223,12346.714285714286,494.5070272503338,775.967489946956,692.6377420172055,13111.0,15105.0,12953.0,15105.0,2152.0,11355.0,12821.0,9599.0,-31.0,290.0,3512.0,-0.002358849490004653,0.022619140472662037,4645.470988213961,3403.6054054054057,1654.3284786018376,26253,1,1,9.481283120423665,114.50327506233174
173,2016-01-08 02:00:00,2016-01-08 03:00:00,13213,2,8,1,2016,4,8,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,13111.0,13142.0,13369.0,14303.0,15075.0,12953.0,12110.0,9524.0,13155.333333333334,13425.333333333334,14096.333333333334,14349.041666666666,13619.611111111111,12368.672619047618,372.9582639741808,782.4664190684027,671.7484311185037,13111.0,15105.0,13111.0,15105.0,1994.0,11368.5,12953.0,9524.0,102.0,260.0,3689.0,0.0077797269462451584,0.020072570060989732,4631.45647271087,3505.6054054054057,1756.3284786018376,39466,2,2,9.48903215258983,114.94781424629178
174,2016-01-08 03:00:00,2016-01-08 04:00:00,13602,3,8,1,2016,4,8,1,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,13213.0,13111.0,13142.0,14074.0,15105.0,13399.0,12316.0,9601.0,13308.666666666666,13346.666666666666,13971.083333333334,14357.5,13643.111111111111,12392.488095238095,231.8626029928873,724.4745378967,660.4488592254515,13111.0,15043.0,13111.0,15105.0,1994.0,11601.5,13399.0,9601.0,389.0,203.0,4001.0,0.029440702336377755,0.015150384357041571,4620.232126696832,3894.6054054054057,2145.3284786018376,53068,3,3,9.51804563563343,116.62761251093156
175,2016-01-08 04:00:00,2016-01-08 05:00:00,14414,4,8,1,2016,4,8,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,13602.0,13213.0,13111.0,13643.0,15043.0,14160.0,12532.0,9793.0,13743.0,13475.166666666666,13918.666666666666,14368.083333333334,13665.930555555555,12419.994047619048,494.18920128492596,659.7311206205009,659.1803155478958,13111.0,14982.0,13111.0,15105.0,1994.0,12103.5,14160.0,9793.0,812.0,254.0,4621.0,0.05969710336276304,0.017937853107344633,4968.864191942055,4706.605405405406,2957.3284786018376,67482,4,4,9.576024610072503,120.0583191619806
176,2016-01-08 05:00:00,2016-01-08 06:00:00,14631,5,8,1,2016,4,8,1,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,14414.0,13602.0,13213.0,13369.0,14982.0,14523.0,12620.0,9815.0,14215.666666666666,13685.5,13889.416666666666,14372.583333333334,13687.125,12448.660714285714,675.3300674484735,614.533889639279,660.6508593584366,13111.0,14829.0,13111.0,15105.0,1994.0,12223.0,14523.0,9815.0,217.0,108.0,4816.0,0.015054807824680532,0.007436480066102045,4928.884057971014,4923.605405405406,3174.3284786018376,82113,5,5,9.590966190070702,120.95867062761562
177,2016-01-08 06:00:00,2016-01-08 07:00:00,14802,6,8,1,2016,4,8,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,0,0,0,0,0,1,0,0,0,0,0,14631.0,14414.0,13602.0,13142.0,14829.0,14888.0,12945.0,9998.0,14615.666666666666,13962.166666666666,13887.166666666666,14369.0,13703.958333333334,12477.255952380952,744.6162546349751,610.819246189232,657.9614763402584,13111.0,14802.0,13111.0,15105.0,1994.0,12400.0,14888.0,9998.0,171.0,-86.0,4804.0,0.011687512814456461,-0.005776464266523375,4943.896551724138,5094.605405405406,3345.3284786018376,96915,6,6,9.602585141913492,121.66347027764743
