timestamp,actual,prophet,prophet_xgb,prophet_xgb_lgbm,xgb_correction,lgbm_correction
2021-01-01 00:00:00,9206.0,10242.565148590329,8711.329552887204,8737.492280612976,-1531.2356,26.162727725771465
2021-01-01 01:00:00,9042.0,10231.16499451157,8546.049515995945,8617.85631527954,-1685.1155,71.80679928359498
2021-01-01 02:00:00,9010.0,10210.258663564906,8179.798946768031,8187.900022889497,-2030.4597,8.101076121466463
2021-01-01 03:00:00,9057.0,10232.790426560163,8112.827780075788,8143.549568019126,-2119.9626,30.72178794333827
2021-01-01 04:00:00,9219.0,10328.98075033052,7642.296424158645,7607.15406503087,-2686.6843,-35.142359127775464
2021-01-01 05:00:00,9198.0,10478.316701731672,8347.927785716047,8368.875897091419,-2130.389,20.948111375372285
2021-01-01 06:00:00,9392.0,10623.050610321252,8770.611645477502,8812.657425048184,-1852.439,42.04577957068278
2021-01-01 07:00:00,9486.0,10708.612932790928,8767.162127126865,8745.967652548226,-1941.4508,-21.19447457863852
2021-01-01 08:00:00,9496.0,10716.383837868789,8948.863574196914,8958.434325379973,-1767.5203,9.57075118305936
2021-01-01 09:00:00,9629.0,10666.167306907726,9046.976388938976,9053.840042189826,-1619.1909,6.863653250849318
2021-01-01 10:00:00,9731.0,10594.612254739051,9019.842357278114,9041.574673071482,-1574.7699,21.732315793367903
2021-01-01 11:00:00,9763.0,10533.135887933395,8811.822289300582,8804.852450962628,-1721.3136,-6.969838337954214
2021-01-01 12:00:00,9908.0,10500.848066912815,8854.867598162815,8880.347110151448,-1645.9805,25.479511988632815
2021-01-01 13:00:00,10160.0,10507.405513220201,8953.776973181139,8932.833156441742,-1553.6285,-20.94381673939642
2021-01-01 14:00:00,10428.0,10551.51528001487,9054.869650132057,9064.815881215864,-1496.6456,9.946231083806925
2021-01-01 15:00:00,10485.0,10612.025969767654,9761.877776408279,9762.592574191263,-850.1482,0.7147977829852705
2021-01-01 16:00:00,10498.0,10645.38757188007,9701.263609477726,9678.043680021972,-944.12396,-23.21992945575421
2021-01-01 17:00:00,10523.0,10603.829332184767,10068.288194489454,10047.486320884665,-535.54114,-20.80187360478808
2021-01-01 18:00:00,10340.0,10468.635372895902,9814.86993100137,9796.634028838373,-653.76544,-18.235902162998187
2021-01-01 19:00:00,10021.0,10272.081779795788,9184.388176280163,9158.830368363813,-1087.6936,-25.557807916349986
2021-01-01 20:00:00,10182.0,10084.006085084306,9097.208294556962,9115.906213621738,-986.7978,18.697919064775693
2021-01-01 21:00:00,10012.0,9967.102722403111,8946.85095238358,9001.196460050222,-1020.2518,54.34550766664155
2021-01-01 22:00:00,9631.0,9934.514146041873,8504.034897994998,8523.14610204452,-1430.4792,19.111204049523568
2021-01-01 23:00:00,9292.0,9945.18740782612,8353.96865782612,8345.762891987748,-1591.2188,-8.20576583837232
2021-01-02 00:00:00,9054.0,9942.038298723193,8096.160979387256,8147.600467720317,-1845.8773,51.439488333061625
2021-01-02 01:00:00,8975.0,9901.16564534717,7769.199580894045,7783.977135960156,-2131.966,14.777555066112075
2021-01-02 02:00:00,8972.0,9850.564743984254,7383.249314296754,7386.991458072001,-2467.3154,3.7421437752462814
2021-01-02 03:00:00,9065.0,9843.406823828795,7169.527429297545,7190.434315510916,-2673.8794,20.906886213372093
2021-01-02 04:00:00,9264.0,9910.14943240059,7237.558612088091,7247.164310491798,-2672.5908,9.605698403706407
2021-01-02 05:00:00,9309.0,10030.52164942486,7671.767499034235,7704.550570257262,-2358.7542,32.78307122302712
2021-01-02 06:00:00,9616.0,10147.022101007306,7978.2569642885555,8004.3063374057365,-2168.7651,26.049373117180636
2021-01-02 07:00:00,9742.0,10205.334076277752,8367.73043858244,8377.156485661031,-1837.6036,9.426047078592516
2021-01-02 08:00:00,9861.0,10187.098352299032,8485.203088627157,8496.003537374912,-1701.8953,10.80044874775609
2021-01-02 09:00:00,9975.0,10112.38496747009,8584.202716493528,8569.989980809874,-1528.1823,-14.212735683652976
2021-01-02 10:00:00,10040.0,10018.10918846576,8500.63457909076,8500.918912810146,-1517.4746,0.2843337193870529
2021-01-02 11:00:00,10061.0,9935.949601925133,8302.918473995445,8336.041682034005,-1633.0311,33.123208038559774
2021-01-02 12:00:00,10197.0,9885.268894607201,8162.821873122826,8221.825465308768,-1722.447,59.00359218594087
2021-01-02 13:00:00,10500.0,9875.96561737916,8373.905192574473,8387.071321231833,-1502.0604,13.166128657359923
2021-01-02 14:00:00,10806.0,9906.974755899691,8890.065515177035,8896.691863160655,-1016.90924,6.626347983619272
2021-01-02 15:00:00,10937.0,9957.355275492988,9317.0448506883,9318.000344759872,-640.3104,0.9554940715723292
2021-01-02 16:00:00,11018.0,9983.747114881633,9607.046614393352,9631.189507729618,-376.7005,24.142893336266102
2021-01-02 17:00:00,10940.0,9938.548706739082,9827.372429578438,9842.777718204377,-111.17628,15.405288625939802
2021-01-02 18:00:00,10669.0,9803.194132826502,9391.003306410486,9371.803901955695,-412.19083,-19.199404454791832
2021-01-02 19:00:00,10238.0,9610.09064638,8966.343209856563,8964.9717434676,-643.74744,-1.3714663889621264
2021-01-02 20:00:00,10490.0,9429.184778361918,8865.406458049418,8863.444165531333,-563.7783,-1.9622925180840056
2021-01-02 21:00:00,10318.0,9323.251094775216,8616.351680712716,8584.958967855959,-706.8994,-31.392712856757633
2021-01-02 22:00:00,9914.0,9305.477143282673,8203.95016574361,8178.167198154951,-1101.527,-25.782967588659275
2021-01-02 23:00:00,9535.0,9334.818443092392,8071.657798561142,8061.43193813785,-1263.1606,-10.225860423291662
2021-01-03 00:00:00,9296.0,9354.166214622435,7752.189774192748,7714.212671576103,-1601.9764,-37.977102616644814
2021-01-03 01:00:00,9137.0,9339.566832833512,7512.384948067887,7560.339088065083,-1827.1819,47.95413999719618
2021-01-03 02:00:00,9142.0,9318.937261208634,7011.374272927384,7030.080485571138,-2307.563,18.706212643754423
2021-01-03 03:00:00,9197.0,9345.341661823379,6978.130480182754,6970.949090862732,-2367.2112,-7.181389320021456
2021-01-03 04:00:00,9375.0,9449.096840818718,6934.225502928093,6929.034579761822,-2514.8713,-5.190923166271083
2021-01-03 05:00:00,9369.0,9609.755110094518,7249.591047594518,7216.810692648467,-2360.164,-32.780354946051055
2021-01-03 06:00:00,9641.0,9769.60499624509,7611.412857573216,7609.648808369604,-2158.1921,-1.7640492036116744
2021-01-03 07:00:00,9753.0,9874.092426466217,7935.214008497467,7886.703052500252,-1938.8784,-48.510955997215106
2021-01-03 08:00:00,9938.0,9904.599046129364,8172.518601793427,8149.113720748938,-1732.0804,-23.404881044487876
2021-01-03 09:00:00,10129.0,9880.916310380813,8243.521046708938,8224.02639164771,-1637.3953,-19.494655061227427
2021-01-03 10:00:00,10203.0,9839.661286460336,8234.226594077523,8225.361083467149,-1605.4347,-8.865510610373368
2021-01-03 11:00:00,10272.0,9812.194759535247,8202.187313246184,8182.073103121252,-1610.0074,-20.11421012493224
2021-01-03 12:00:00,10233.0,9817.543946186588,8342.788453022526,8390.860879646661,-1474.7555,48.0724266241363
2021-01-03 13:00:00,10446.0,9865.257505003487,8367.266538206612,8403.472107295047,-1497.991,36.20556908843528
2021-01-03 14:00:00,10736.0,9953.909009661138,8769.183667864263,8786.444341277309,-1184.7253,17.26067341304531
2021-01-03 15:00:00,10807.0,10062.186671160489,9281.912989519864,9316.147163000136,-780.2737,34.23417348027238
2021-01-03 16:00:00,10826.0,10146.353320710028,9521.49718057331,9514.4068043126,-624.85614,-7.090376260708953
2021-01-03 17:00:00,10891.0,10158.429331706953,9603.505686687422,9638.407018891961,-554.92365,34.90133220453957
2021-01-03 18:00:00,10679.0,10079.476912933274,9545.205062347337,9547.448895474503,-534.27185,2.243833127166109
2021-01-03 19:00:00,10253.0,9941.543457691241,9011.887818042804,9005.882405312926,-929.65564,-6.0054127298778575
2021-01-03 20:00:00,10483.0,9814.229392530711,8869.309714796336,8919.025916692168,-944.9197,49.71620189583188
2021-01-03 21:00:00,10388.0,9759.97502420894,8800.020068154252,8774.903894794794,-959.95496,-25.116173359457555
2021-01-03 22:00:00,10008.0,9791.643714836282,8317.73734276597,8274.830098708979,-1473.9064,-42.90724405699149
2021-01-03 23:00:00,9638.0,9867.879247845558,7925.043066204933,7876.855950461091,-1942.8362,-48.187115743841915
2021-01-04 00:00:00,10609.0,9931.28062526471,8441.302964131897,8447.050385697074,-1489.9777,5.747421565175835
2021-01-04 01:00:00,10707.5,9957.629632601534,8696.06102908591,8689.57602684952,-1261.5686,-6.485002236389963
2021-01-04 02:00:00,10771.5,9974.610667904644,8437.598338803082,8427.789741445164,-1537.0123,-9.808597357917465
2021-01-04 03:00:00,10816.5,10035.08630549325,8190.634645337001,8199.66931320324,-1844.4517,9.03466786623854
2021-01-04 04:00:00,10539.0,10169.198997925736,8597.887840699173,8643.069581308266,-1571.3112,45.181740609091726
2021-01-04 05:00:00,10923.0,10356.352156417252,8869.637190596939,8894.353322596211,-1486.715,24.716131999272104
2021-01-04 06:00:00,11376.0,10538.713492089675,9379.048453027175,9395.165808567846,-1159.665,16.11735554067114
2021-01-04 07:00:00,11442.0,10661.641574297219,9861.894076738625,9826.84537344597,-799.7475,-35.048703292654615
2021-01-04 08:00:00,11409.0,10706.468316199675,10016.02080643405,10023.888601753226,-690.4475,7.867795319175932
2021-01-04 09:00:00,11447.0,10692.973445637817,9898.768245442505,9896.138621699445,-794.2052,-2.6296237430591756
2021-01-04 10:00:00,11450.0,10657.797610337248,9873.671816880216,9838.150224596306,-784.1258,-35.521592283909854
2021-01-04 11:00:00,11441.0,10632.35739906804,9648.754676900071,9616.776091537917,-983.6027,-31.9785853621535
2021-01-04 12:00:00,11476.0,10635.76635727143,9714.609741060493,9694.465278797983,-921.1566,-20.14446226250921
2021-01-04 13:00:00,11583.0,10677.689120515772,9782.38168643374,9804.596209412079,-895.30743,22.21452297833753
2021-01-04 14:00:00,11818.0,10756.843219249447,9991.90193506976,9998.529263050494,-764.9413,6.627327980733118
2021-01-04 15:00:00,11722.0,10852.086011108753,10317.977795776722,10337.453716276985,-534.1082,19.475920500263424
2021-01-04 16:00:00,11714.0,10919.87234414492,10399.14919961367,10396.60191791303,-520.72314,-2.5472817006396595
2021-01-04 17:00:00,11667.0,10912.437288731746,10710.025133580379,10749.893308875948,-202.41216,39.86817529556954
2021-01-04 18:00:00,11523.0,10811.081756364243,10351.104461442368,10357.41899906595,-459.9773,6.3145376235819946
2021-01-04 19:00:00,11172.0,10648.115706666067,9831.137923462942,9807.309813663756,-816.9778,-23.828109799184922
2021-01-04 20:00:00,11325.0,10493.42167882001,9836.285387316104,9841.12386058496,-657.1363,4.838473268854624
2021-01-04 21:00:00,11123.0,10409.733644618316,9761.527650965972,9755.379418913346,-648.206,-6.1482320526262155
2021-01-04 22:00:00,10685.0,10410.21237123462,9770.259612445558,9746.69408060915,-639.95276,-23.565531836408123
2021-01-04 23:00:00,11499.5,10453.799231335941,9345.855505750003,9330.920076372378,-1107.9437,-14.935429377625015
2021-01-05 00:00:00,11543.0,10483.39230930102,9366.370580785395,9345.041569497338,-1117.0217,-21.329011288056876
2021-01-05 01:00:00,11573.0,10475.076554764357,9438.303117264357,9439.221068455241,-1036.7734,0.9179511908850131
2021-01-05 02:00:00,11615.0,10456.842778705128,9340.479741595753,9310.362120363894,-1116.363,-30.11762123185952
